hidden_size,n_layers,lr,weight_std,normalize,activation,batch_size,epochs,train_loss,val_loss,train_acc,test_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_auc,test_auc,time_s
16,1,0.01,0.5,True,relu,32,300,0.41433619488546447,0.45821944683393984,0.8347107438016529,0.8032786885245902,0.8380952380952381,0.7666666666666667,0.7927927927927928,0.8214285714285714,0.8148148148148148,0.7931034482758621,0.9024826353070629,0.8820346320346321,0.27443838119506836
16,1,0.05,0.5,True,relu,32,300,0.29481986296082974,0.4917714015341436,0.9173553719008265,0.8032786885245902,0.9174311926605505,0.7666666666666667,0.9009009009009009,0.8214285714285714,0.9090909090909091,0.7931034482758621,0.9484904752080325,0.8885281385281385,0.27842140197753906
16,1,0.1,0.5,True,relu,32,228,0.28535719925380865,0.5293901614521984,0.9380165289256198,0.8032786885245902,0.9444444444444444,0.7666666666666667,0.918918918918919,0.8214285714285714,0.9315068493150684,0.7931034482758621,0.9530981363042432,0.8950216450216449,0.21414804458618164
32,1,0.01,0.5,True,relu,32,300,0.5614344777980667,0.3905245707499634,0.8471074380165289,0.9016393442622951,0.8490566037735849,0.9583333333333334,0.8108108108108109,0.8214285714285714,0.8294930875576036,0.8846153846153846,0.8822639433326458,0.9372294372294372,0.3023238182067871
32,1,0.05,0.5,True,relu,32,300,0.37770927803047555,0.34712334295591574,0.9380165289256198,0.8688524590163934,0.9705882352941176,0.8571428571428571,0.8918918918918919,0.8571428571428571,0.9295774647887324,0.8571428571428571,0.9378309607317241,0.9437229437229439,0.30514049530029297
32,1,0.1,0.5,True,relu,32,127,0.3823117570074816,0.3445246812362047,0.9338842975206612,0.9016393442622951,0.9702970297029703,0.8928571428571429,0.8828828828828829,0.8928571428571429,0.9245283018867925,0.8928571428571429,0.9345987208582628,0.9437229437229437,0.136122465133667
8,2,0.01,0.5,True,relu,32,300,0.46077810790275714,0.4637030082772794,0.8305785123966942,0.819672131147541,0.8125,0.8148148148148148,0.8198198198198198,0.7857142857142857,0.8161434977578476,0.8,0.8687160442885634,0.8668831168831168,0.39432787895202637
8,2,0.05,0.5,True,relu,32,300,0.3494722432621412,0.41354007995664077,0.8925619834710744,0.8688524590163934,0.8899082568807339,0.8571428571428571,0.8738738738738738,0.8571428571428571,0.8818181818181818,0.8571428571428571,0.9284780964170277,0.9047619047619048,0.3767416477203369
8,2,0.1,0.5,True,relu,32,188,0.34200494701250594,0.43023434885266504,0.9132231404958677,0.8524590163934426,0.9090909090909091,0.8275862068965517,0.9009009009009009,0.8571428571428571,0.9049773755656109,0.8421052631578947,0.9323980469018637,0.9047619047619048,0.23363542556762695
16,2,0.01,0.5,True,relu,32,300,0.4503735596120169,0.5256632901713507,0.8388429752066116,0.7540983606557377,0.86,0.76,0.7747747747747747,0.6785714285714286,0.8151658767772512,0.7169811320754716,0.8802008114985216,0.8452380952380952,0.3930244445800781
16,2,0.05,0.5,True,relu,32,300,0.2610396194542708,0.5088379288789049,0.9421487603305785,0.7868852459016393,0.944954128440367,0.7586206896551724,0.9279279279279279,0.7857142857142857,0.9363636363636364,0.7719298245614035,0.9582559658895536,0.895021645021645,0.4028940200805664
16,2,0.1,0.5,True,relu,32,300,0.2069909911007945,0.7256768916592852,0.9710743801652892,0.7868852459016393,0.956140350877193,0.7586206896551724,0.9819819819819819,0.7857142857142857,0.9688888888888889,0.7719298245614035,0.9754487311739221,0.8852813852813852,0.3956599235534668
32,2,0.01,0.5,True,relu,32,300,0.7647557910373542,0.901655977056187,0.871900826446281,0.7540983606557377,0.9444444444444444,0.7407407407407407,0.7657657657657657,0.7142857142857143,0.845771144278607,0.7272727272727273,0.8623891066639159,0.8181818181818182,0.4470241069793701
32,2,0.05,0.5,True,relu,32,300,0.35573122939282475,0.8181256144384128,0.9586776859504132,0.7868852459016393,0.9809523809523809,0.7777777777777778,0.9279279279279279,0.75,0.9537037037037037,0.7636363636363637,0.9425761639502097,0.8495670995670995,0.4588451385498047
32,2,0.1,0.5,True,relu,32,300,0.3513356306828758,0.8407696602300656,0.9710743801652892,0.7540983606557377,0.9814814814814815,0.7241379310344828,0.954954954954955,0.75,0.9680365296803652,0.7368421052631579,0.9497971253696444,0.8419913419913421,0.4645423889160156
8,1,0.01,0.01,False,relu,32,300,0.573618884592263,0.6226719637796397,0.7066115702479339,0.6885245901639344,0.7083333333333334,0.7368421052631579,0.6126126126126126,0.5,0.6570048309178744,0.5957446808510638,0.7689980056392269,0.7132034632034633,0.27660202980041504
8,1,0.05,0.01,False,relu,32,300,0.6719894237044505,0.8006569735379233,0.6528925619834711,0.6557377049180327,0.7142857142857143,0.7692307692307693,0.40540540540540543,0.35714285714285715,0.5172413793103449,0.4878048780487805,0.7622584416477546,0.7175324675324676,0.26757359504699707
8,1,0.1,0.01,False,relu,32,51,0.6898043053176253,0.6898520353889829,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.052047014236450195
16,1,0.01,0.01,False,relu,32,300,0.5761513048314203,0.6198964049762263,0.6942148760330579,0.6721311475409836,0.7228915662650602,0.7222222222222222,0.5405405405405406,0.4642857142857143,0.6185567010309279,0.5652173913043478,0.770029571556289,0.7132034632034633,0.31572890281677246
16,1,0.05,0.01,False,relu,32,300,0.5798237464790027,0.667658690598546,0.7066115702479339,0.7049180327868853,0.6851851851851852,0.7272727272727273,0.6666666666666666,0.5714285714285714,0.6757990867579908,0.64,0.7736744377965752,0.7218614718614719,0.2839627265930176
16,1,0.1,0.01,False,relu,32,36,0.6897967383368498,0.6898448960076123,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.03545093536376953
32,1,0.01,0.01,False,relu,32,300,0.5735034607472311,0.62439096211474,0.6983471074380165,0.6721311475409836,0.7159090909090909,0.7222222222222222,0.5675675675675675,0.4642857142857143,0.6331658291457286,0.5652173913043478,0.7700983426174267,0.7121212121212122,0.28931379318237305
32,1,0.05,0.01,False,relu,32,300,0.5900124106473376,0.6835993792893615,0.7107438016528925,0.6721311475409836,0.6952380952380952,0.7,0.6576576576576577,0.5,0.6759259259259259,0.5833333333333334,0.7762189670586618,0.7115800865800866,0.30106115341186523
32,1,0.1,0.01,False,relu,32,36,0.6897986243863682,0.689846003090352,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.4893060999931229,0.5303030303030303,0.038524627685546875
8,2,0.01,0.01,False,relu,32,300,0.6869585932162621,0.687634253327362,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7523554088439586,0.696969696969697,0.3773231506347656
8,2,0.05,0.01,False,relu,32,300,0.5815864652441824,0.6450839236272261,0.6859504132231405,0.6721311475409836,0.6966292134831461,0.7222222222222222,0.5585585585585585,0.4642857142857143,0.62,0.5652173913043478,0.7687229213946771,0.70995670995671,0.38126540184020996
8,2,0.1,0.01,False,relu,32,300,0.5708393406112432,0.6365357576467686,0.7148760330578512,0.6885245901639344,0.7019230769230769,0.7142857142857143,0.6576576576576577,0.5357142857142857,0.6790697674418604,0.6122448979591837,0.7713362217179011,0.7164502164502163,0.3655567169189453
16,2,0.01,0.01,False,relu,32,300,0.5852918421896176,0.6316079791002472,0.6859504132231405,0.639344262295082,0.7160493827160493,0.6875,0.5225225225225225,0.39285714285714285,0.6041666666666666,0.5,0.762877381197992,0.7067099567099566,0.4286997318267822
